ISO code,Country,Variable code,Variable name,1990,2019
ABW,Aruba,pop,Population (in millions),0.062149,0.106314
ABW,Aruba,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),2575.25561523438,3921.26123046875
AGO,Angola,pop,Population (in millions),11.848386,31.825295
AGO,Angola,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),36310.5546875,228151.015625
AIA,Anguilla,pop,Population (in millions),0.008899,0.014869
AIA,Anguilla,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),206.072937011719,376.634979248047
ALB,Albania,pop,Population (in millions),3.286073,2.880917
ALB,Albania,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),12005.7568359375,35890.01953125
ARE,United Arab Emirates,pop,Population (in millions),1.828432,9.770529
ARE,United Arab Emirates,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),226935.609375,681525.8125
ARG,Argentina,pop,Population (in millions),32.618651,44.780677
ARG,Argentina,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),196718.6875,991646.3125
ARM,Armenia,pop,Population (in millions),3.538171,2.957731
ARM,Armenia,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),23707.373046875,41048.62890625
ATG,Antigua and Barbuda,pop,Population (in millions),0.062528,0.097118
ATG,Antigua and Barbuda,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),845.257568359375,1986.16320800781
AUS,Australia,pop,Population (in millions),16.960597,25.203198
AUS,Australia,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),491977.8125,1280843.25
AUT,Austria,pop,Population (in millions),7.723949,8.955102
AUT,Austria,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),208007.234375,498022.25
AZE,Azerbaijan,pop,Population (in millions),7.242761,10.047718
AZE,Azerbaijan,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),57294.9296875,162126.1875
BDI,Burundi,pop,Population (in millions),5.438957,11.53058
BDI,Burundi,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),4961.1484375,8664.98828125
BEL,Belgium,pop,Population (in millions),10.006544,11.539328
BEL,Belgium,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),272013.5625,589449.125
BEN,Benin,pop,Population (in millions),4.978496,11.801151
BEN,Benin,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),6388.1083984375,36740.7421875
BFA,Burkina Faso,pop,Population (in millions),8.811034,20.321378
BFA,Burkina Faso,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),9579.7763671875,43608.875
BGD,Bangladesh,pop,Population (in millions),103.171956,163.046161
BGD,Bangladesh,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),152607.46875,756355.5625
BGR,Bulgaria,pop,Population (in millions),8.841458,7.000119
BGR,Bulgaria,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),104736.34375,159419.96875
BHR,Bahrain,pop,Population (in millions),0.495931,1.641172
BHR,Bahrain,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),8248.1201171875,74097.2265625
BHS,Bahamas,pop,Population (in millions),0.256223,0.389482
BHS,Bahamas,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),7824.521484375,14412.818359375
BIH,Bosnia and Herzegovina,pop,Population (in millions),4.463423,3.301
BIH,Bosnia and Herzegovina,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),6946.330078125,46953.84375
BLR,Belarus,pop,Population (in millions),10.151134,9.452411
BLR,Belarus,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),151189.703125,201465.015625
BLZ,Belize,pop,Population (in millions),0.187552,0.390353
BLZ,Belize,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),1360.08422851563,2680.84936523438
BMU,Bermuda,pop,Population (in millions),0.061634,0.062506
BMU,Bermuda,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),1956.00305175781,4998.4541015625
BOL,Bolivia (Plurinational State of),pop,Population (in millions),6.864842,11.5131
BOL,Bolivia (Plurinational State of),rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),16286.1435546875,99341.8359375
BRA,Brazil,pop,Population (in millions),149.003223,211.049527
BRA,Brazil,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),947247.75,3089273.5
BRB,Barbados,pop,Population (in millions),0.260936,0.287025
BRB,Barbados,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),4099.8515625,4848.38720703125
BRN,Brunei Darussalam,pop,Population (in millions),0.258721,0.433285
BRN,Brunei Darussalam,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),15308.8740234375,29270.73828125
BTN,Bhutan,pop,Population (in millions),0.530804,0.763092
BTN,Bhutan,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),1478.158203125,8528.7119140625
BWA,Botswana,pop,Population (in millions),1.286756,2.303697
BWA,Botswana,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),9494.908203125,39315.9375
CAF,Central African Republic,pop,Population (in millions),2.806734,4.745185
CAF,Central African Republic,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),3352.39135742188,4532.56103515625
CAN,Canada,pop,Population (in millions),27.541319,37.411047
CAN,Canada,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),915724.6875,1846581.125
CHE,Switzerland,pop,Population (in millions),6.652868,8.591365
CHE,Switzerland,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),283661.96875,617131.8125
CHL,Chile,pop,Population (in millions),13.274623,18.952038
CHL,Chile,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),109067.2890625,447186.625
CHN,China,pop,Population (in millions),1176.883674,1433.783686
CHN,China,rgdpe,Expenditure-side real GDP at chained PPPs (in mil. 2017US$),2916157.25,20056066
