chain	own	state	empft	emppt	nmgrs	wagest	empft2	emppt2	nmgrs2	wagest2
1	0	0	30	15	3	.	3.5	35	3	4.3
2	0	0	6.5	6.5	4	.	0	15	4	4.45
2	1	0	3	7	2	.	3	7	4	5
4	1	0	20	20	4	5	0	36	2	5.25
4	1	0	6	26	5	5.5	28	3	6	4.75
4	1	0	0	31	5	5	.	.	.	.
1	0	0	50	35	3	5	15	18	5	4.75
1	0	0	10	17	5	5	26	9	6	5
2	1	0	2	8	5	5.25	3	12	2	5
2	1	0	2	10	2	5	2	9	2	5
3	1	0	2.5	20	3	5	1	25	4	4.75
1	0	0	40	30	3	5	9	32	4	5
1	0	0	8	27	5	5	7	39	4	4.5
1	0	0	10.5	30	3	5.5	18	10	3	4.75
1	0	0	6	9	3	5	5	20	3	4.5
2	1	0	5	17.5	3	5.25	15	4	3	5
2	1	0	1	15	1	5	4	13	3	4.75
3	1	0	10	6	2	5	6	20	3	4.75
3	0	0	20	13	3	5	5	15	3	4.75
3	0	0	5	23	2	5	2	19	3	4.25
3	1	0	10	12.5	4	5	2	18	3	5
3	1	0	27	12	3	5	0	30	4	4.9
3	0	0	4	28	3	5	8	20	3	5
3	1	0	10	15	3	5	10	10	3	4.75
4	1	0	0	28	5	5	0	31	5	5
3	1	0	3	16	3	5	5.5	10	3	4.25
3	1	0	7	16	4	5	5	19	3	4.75
1	0	0	21	9	7	4.25	6	25	7	4.25
1	0	0	1	32	2	4.25	5	15	3	.
1	0	0	10	20	7	4.25	7	25	6	4.25
1	0	0	0	27	6	4.25	0	42	6	4.25
1	0	0	17	4	5	4.5	0	22	5	4.25
1	0	0	0	24	6	4.25	11	12	2	4.25
1	0	0	25	15	.	4.5	0	45	2	4.25
1	0	0	6	20	3	4.25	7.5	25	5	4.38
2	0	0	6	10	3	4.5	4	20	3	4.75
2	0	0	0	15	3	4.25	6	15	3	4.25
4	1	0	30	10	3	4.67	7	18	4	4.5
4	1	0	8	25	3	4.75	0	28	4	4.5
4	0	0	0	15	3	4.25	0	16	4	4.25
4	0	0	10	20	5	4.25	10	20	5	4.25
2	1	0	2	12	3	4.75	1	14	3	4.25
1	0	0	20	25	4	4.25	0	48	3	4.25
1	0	0	20	55	5	4.5	25	10	4	5.05
1	0	0	10	30	4	4.25	0	42	4	.
1	0	0	15	50	5	4.25	19	29	4	4.25
1	0	0	1	37.5	3	4.25	0	32	5	4.25
2	0	0	0	9	3	4.25	2	9	3	4.25
4	0	0	0	25	3	4.25	0	30	3	.
4	0	0	30	10	3	4.25	0	30	3	4.25
4	0	0	4	19	4	4.25	5	20	4	4.35
4	0	0	12	20	3	4.25	10	35	4	4.5
1	0	0	.	.	3	4.5	7	24	4	5
1	0	0	8	18	4	4.75	8	27	3	4.5
1	0	0	0	25	3	4.87	15	15	5	5
1	0	0	2	21	3	4.75	27.5	8	3	4.75
2	1	0	1	9	3	4.5	0	18	5	5
3	1	0	5	20	3	4.25	0	20	5	4.35
4	0	0	8	17.5	4	4.75	14	12	3	.
1	0	0	25	20	4	4.25	12	23	3	4.25
1	0	0	37.5	2	3	4.25	8	25	3	4.9
1	0	0	5	27	4	4.75	26	15	2	4.5
1	0	0	25	8	3	4.5	10	16	3	4.5
1	0	0	6	30	3	4.25	5	30	3	4.75
1	0	0	8	28	4	4.25	6	20	4	6.25
1	0	0	32	25	4	4.5	8	30	4	4.35
2	1	0	1	9	3	4.5	4	12	3	4.5
3	0	0	4	25	2	4.5	0	0	0	.
3	1	0	2	16	3	4.5	4	15	2	4.5
4	1	0	12	15	3	4.5	.	.	5	.
4	1	0	20	10	3	4.75	21	5.5	3	5
1	0	0	14	15	3	4.25	30	15	6	4.75
1	0	0	7.5	14	4	4.75	35	6.5	3	4.5
3	1	0	7	25	4	4.25	2.5	17.5	3	.
3	1	0	4	16	3	4.75	3	13	3	4.75
3	0	0	5	20	3	4.5	23	16	3	4.25
3	1	0	6	22.5	3	4.75	2	12	2	4.91
1	0	0	2.5	20	3	4.25	0	12	8	4.4
1	0	0	2	30	4	4.35	3	23	3	4.25
1	0	1	0	22	4	.	2	40	5	5.05
1	0	1	0	20	5	.	5	25	4	5.05
3	0	1	10	20	4	.	8	24	3	5.05
3	1	1	4.5	25.5	2	.	2	33	3	5.05
1	0	1	0	25	9	.	26.5	10	3	5.05
2	0	1	0	13	3	.	1	15	2	5.05
4	0	1	30	20	4	.	0	25	4	5.05
1	0	1	.	10	3	.	16	6	4	5.05
1	0	1	0	34	4	.	23	22	4	5.05
4	0	1	20	10	3	.	28	10	3	5.25
4	0	1	0	14	3	.	8	12	2	.
1	0	1	0	35	3	.	0	35	3	5.05
3	1	1	15	15	3	.	6	20	3	5.05
4	0	1	0	30	4	.	35	30	3	5.05
1	0	1	5	19	2	.	4.5	20	2	5.05
1	1	1	9	10	3	.	7	13	3	5.05
1	1	1	0	45	5	.	30	20	5	5.05
3	1	1	2	2	2	5	5	2	2	5.05
2	0	1	10	8	2	5.12	4	17	3	5.05
1	0	1	30	15	4	5.56	10	20	4	5.05
2	1	1	4	10	4	5	0	7	4	5.05
2	0	1	6	4	2	5	4	3	2	5.05
2	0	1	4	16	3	5.25	6	15	5	5.05
3	0	1	12	20	4	5	6	11	5	5.05
4	0	1	8	12	4	5.5	10	35	6	5.05
3	0	1	6	50	4	5	4	60	3	5.05
3	1	1	13	10	3	5	10	12	2	5.05
4	0	1	25	13	3	5	0	45	4	5.05
4	0	1	8	14.5	3	5	25	8	4	5.05
4	0	1	12.5	20	2	5	.	.	4	5.05
1	0	1	7	20	3	5.5	0	35	3	5.05
1	1	1	10	6	3	5	6	25	6	5.5
2	0	1	0	25	5	5	2	20	4	5.05
4	0	1	12.5	10	3	5	.	.	2	5.05
4	0	1	4	26	3	5	5	25	6	5.05
2	1	1	6.5	7.5	2	5	3	16	2	5.05
3	0	1	20	20	3	5.25	7	18	4	5.05
3	0	1	15	25	4	5.5	8	22	3	5.05
4	0	1	.	.	2	5.5	11	25	5	5.5
4	0	1	0	30	3	5.37	.	.	.	.
4	0	1	10	30	3	5.05	4	37	3	5.05
1	0	1	5	17	3	5	10	8	4	5.28
1	0	1	8.5	6.5	3	5.12	6	0	3	5.25
1	0	1	4.5	30	4	5.25	7.5	30	4	5.05
1	0	1	1	12	3	5	0	0	0	.
1	0	1	35	15	4	5.12	12	13.5	5	5.05
2	0	1	10	5	3	5	12	8	2	5.5
3	1	1	8	25	4	5	26	12	4	5.05
3	1	1	12	18	3	5	1.5	33	3	5.05
3	1	1	4	30	4	5	5	15	3	5.05
4	0	1	20	10	3	5	10	17	4	5.05
1	1	1	12	33	4	5	20	6	4	5.05
1	1	1	10	20	3	5	20	20	4	5.05
3	0	1	4	20	3	5.62	5	17.5	3	5.05
3	1	1	5	42	4	5	7	30	4	5.05
4	1	1	8	19	4	5	0	30	3	5.05
1	0	1	23	10	4	5	5	21	5	5.05
1	0	1	0	10	3	5	10	4	3	5.05
3	1	1	15	35	3	5.1	15	15	3	5.05
3	0	1	15	25	4	5	15	.	4	5.05
3	1	1	25	10	3	5.25	12	10	3	5.05
3	0	1	15	8	3	5.5	8	12	4	5.05
1	0	1	13	12	4	5	15	15	4	5.05
1	1	1	10	18	4	5	0	42.5	2	5.05
2	1	1	0	13	2	5	0	15	3	5.05
2	1	1	4	11	3	5.05	2	14	3	5.25
2	1	1	0	15	2	5.5	3	7	3	5.05
2	1	1	5	10	3	5	5	15	3	5.05
1	1	1	5	16	4	5.3	4	9	6	5.05
2	1	1	3	8	2	5	6	12	2	5.05
2	1	1	8	12	5	5	2	7	1	5.05
2	0	1	5	9	2	5	4	6	3	5.05
2	0	1	3	14	3	5	4	11	2	5.05
3	0	1	20	46	5	5.25	22	39	5	5.05
3	1	1	18	45	5	5.15	0	45	4	5.05
4	0	1	4	16	3	5.42	3	20	3	5.67
1	0	1	10	10	3	5	0	20	3	5.05
3	1	1	2.5	27	5	5	0	20	4	5.05
4	0	1	14	7	3	5.06	9	7	3	5.05
4	0	1	11.5	10	4	5.05	0	28	4	5.05
4	0	1	4.5	20	3	5	21	6	3	5.25
1	0	1	12	23	4	5	11	22	5	5.25
1	1	1	14	12	4	5	18	15	4	5.05
1	0	1	25	10	4	5.25	0	25	4	5.5
1	1	1	10	8	4	5	20	15	4	5.05
1	0	1	10	20	4	5	15	15	5	5.05
3	1	1	13	31	.	5.05	11	23	3	5.05
4	1	1	12	35	4	5	17	22	4	5.5
4	1	1	5	10	2	5.75	8	7	3	5.5
1	0	1	3	60	2	5	0	15	3	5.05
1	0	1	16	30	4	4.5	20	40	4	5.05
1	0	1	10	6	3	4.75	7.5	10	3	5.25
2	0	1	6	13	3	4.25	4	7	3	5.05
3	0	1	10	12	3	4.75	5	30	4	5.05
3	0	1	5	30	4	4.5	10	30	4	5.15
4	0	1	.	25	4	4.8	15	25	3	5.05
1	0	1	12	40	4	4.37	0	32	4	5.05
1	0	1	15	20	4	4.25	15	15	4	5.05
1	0	1	10	30	4	4.25	12	24	3	5.05
1	0	1	6.5	23.5	3	4.37	15	15	4	5.05
2	0	1	0	25	3	4.5	2	11	3	5
3	0	1	3	25	4	4.6	5	20	3	5.05
3	0	1	6	22	4	4.5	7	17	3	5.05
3	0	1	0	20	4	4.37	4	35	4	5.05
3	0	1	15	25	3	4.25	8	38	5	5.05
1	0	1	4	31	4	4.25	6	44	5	5.05
2	0	1	5	12	3	4.45	0	11	2	5.05
3	0	1	3	15	4	4.35	3	15	2	5.05
1	0	1	0	25	3	4.5	14	14	3	5.05
1	0	1	15	15	4	4.75	15	20	4	5.05
2	0	1	0	14	1	4.5	6	2	3	.
2	0	1	0	7	2	4.5	0	13	3	5.05
3	0	1	10	20.5	3	4.5	2	25	3	5.05
3	1	1	5	15	3	4.95	11	7	3	5.05
4	0	1	25	6.5	4	4.5	13	18	3	5.05
1	0	1	15	20	5	4.25	10	20	6	5.05
1	1	1	26	6	.	4.25	15	10	4	5.05
1	0	1	20	15	3	4.5	13	13	3	5.05
1	0	1	0	20	4	4.8	.	.	3	5.05
1	0	1	15	18	3	4.25	26	10	4	5.05
1	0	1	5	15	6	4.5	4	17.5	5	5.05
1	0	1	30	10	3	4.25	13	17	3	5.05
1	0	1	0	27	3	4.25	0	27	3	5.05
1	0	1	35	20	5	4.5	10	30	5	5.05
1	0	1	0	35	3	4.75	29	14	3	5.05
2	0	1	0	7	3	4.25	14	0	3	5.05
2	0	1	3	15	3	4.25	4	11	3	5.05
3	1	1	8	32	4	4.25	25	15	6	5.05
3	1	1	6	25	3	4.5	8	18	3	5.05
4	0	1	4.5	20	.	4.25	11	14	3	5.05
1	0	1	4	30	5	4.5	12	30	5	5.05
1	0	1	11	11	4	4.25	9	12	4	5.05
1	0	1	0	15	.	4.5	0	30	5	5.05
1	0	1	3	35	3	4.25	4	37	4	5.05
1	1	1	8	22	4	4.25	0	30	4	5.05
1	1	1	4	18	4	4.25	14	6	3	5.05
1	1	1	2.5	30	3	4.25	5	25	5	5.05
2	0	1	18	3	4	4.25	0	14	3	5.05
2	0	1	0	15	2	4.25	0	15	5	5.05
2	0	1	0	12	4	4.25	2.5	11	3	5.05
2	0	1	0	20	4	4.25	3	13	3	5.05
3	1	1	60	40	5	4.75	30	50	4	5.05
3	0	1	4.5	15	3	4.75	10	12	3	5.05
3	0	1	12	13	3	4.4	0	27	2	5.05
4	0	1	40	20	3	4.62	11	10	3	5.05
1	0	1	0	40	4	4.25	0	45	4	5.05
1	0	1	0	35	3	4.25	2	25	3	5.05
1	1	1	6	11	3	4.25	13.5	10	2	5.05
